	Log2FoldChange	Up/Down	Position	Significant
1277	1.3633745888893771	up	chr1:173159703-173164496:-	yes
1298	2.147444862929671	up	chr16:87553575-87595581:+	yes
1316	0.964692395900206	up	chr16:4874778-4880315:-	yes
1338	0.8730536036091927	up	chr11:7106089-7113926:-	yes
1346	-0.6560064958573602	down	chr11:94981403-94986610:+	yes
1350	-1.3459767177751631	down	chr6:128312985-128325911:+	yes
1371	2.0392922098566872	up	chr4:120368743-120421217:-	yes
1403	0.9151778428266286	up	chr14:32366091-32454472:-	yes
1462	-1.2249020302214728	down	chr11:23416203-23421155:-	yes
1469	-0.7534663911245963	down	chr2:119444034-119476980:+	yes
1471	-0.8621784149337167	down	chr8:107897174-107906762:+	yes
1475	-0.8163110018082621	down	chr8:107872158-107893781:+	yes
1479	1.9482826642060604	up	chr9:43875104-43903710:+	yes
1500	-2.7002731715277832	down	chr2:134323097-134380104:-	yes
1509	0.8490513126595696	up	chr7:28964488-28972313:+	yes
1515	1.0631902250949603	up	chr4:135728309-135751972:+	yes
1551	0.7236316218976931	up	chr3:103537623-103541924:-	yes
1552	-0.8907035018789723	down	chr3:103663718-103716170:+	yes
1554	-0.8222900087773809	down	chr3:103604528-103613367:-	yes
1560	-0.9462143151086134	down	chr1:33510656-33726631:-	yes
1585	0.7875618231653276	up	chr14:63763990-63796630:-	yes
1610	-0.7934789215102572	down	chr16:92058515-92112472:+	yes
1619	2.6402420335301584	up	chr8:97876168-97898193:+	yes
1639	0.9888469003041096	up	chr6:137003346-137119018:-	yes
1650	-0.9729927030685512	down	chr4:130348452-130382234:+	yes
1653	-0.6733504139319361	down	chr19:46647855-46671388:+	yes
1656	3.3450257004232853	up	chr11:119868627-119908481:-	yes
1659	-0.6021318646194714	down	chr11:119804077-119868096:+	yes
1664	-1.185071534953045	down	chr5:30384742-30400157:-	yes
1786	3.4862516808244286	up	chr7:4908683-4915950:-	yes
1822	0.7135304203741696	up	chr4:155024764-155027493:-	yes
1825	-0.963371639452223	down	chr18:24812192-24860057:+	yes
1827	-1.4440271772320101	down	chr2:150731136-150757016:+	yes
1850	2.3563795686209588	up	chr4:133621827-133648419:+	yes
1893	3.6658939852356034	up	chr7:88202486-88250498:+	yes
1905	-0.5863272088206303	down	chr15:74825308-74828064:-	yes
1912	-1.081724569175623	down	chr2:13197965-13413551:-	yes
1929	-2.167631345133461	down	chr8:82490014-82581905:-	yes
1951	-1.0189581187434271	down	chr13:105019035-105041728:+	yes
1972	2.0941924101472185	up	chr17:57418523-57468659:+	yes
1979	0.6806964013010431	up	chr8:24085316-24260969:+	yes
1980	-0.6631437342612645	down	chr5:111269036-111303152:+	yes
1984	-0.7789956466910695	down	chr8:24337082-24348140:-	yes
1990	-1.3015319994396704	down	chr15:26472839-26825273:-	yes
1996	-0.6654227650129896	down	chr11:97021028-97049195:-	yes
2052	0.670400157246814	up	chr15:80004151-80045949:+	yes
2053	3.9758638463423233	up	chr1:136095800-136132008:-	yes
2083	-0.9514189110293572	down	chr8:34762995-34808635:+	yes
2109	0.8747811020196689	up	chr5:115346943-115362243:+	yes
2136	-1.0271491222696416	down	chr2:22786860-22789102:+	yes
2141	0.6295776134434982	up	chr6:30161289-30254539:-	yes
2145	-1.238143179800702	down	chr11:78115031-78135959:+	yes
2160	-0.7212997856558957	down	chr11:120453435-120459679:-	yes
2178	2.0480771289411943	up	chr17:27280914-27304709:-	yes
2187	1.7187782179063484	up	chr11:102298295-102308996:-	yes
2214	-1.9014664069862413	down	chr15:78156420-78184277:+	yes
2240	2.5822887987964	up	chr7:80520406-80564785:+	yes
2244	-1.4618833448257678	down	chr11:85871638-86014695:-	yes
2259	1.3484278219563428	up	chr9:18126395-18207439:-	yes
2305	-2.112710241930544	down	chr13:13274982-13284190:+	yes
2316	-0.9956417966629586	down	chr6:113481676-113547011:+	yes
2322	-1.3265293606441295	down	chr6:88833469-88848774:-	yes
2417	0.7621557867369093	up	chr7:133416133-133438513:+	yes
2439	1.5508200677896056	up	chr18:4920538-5119297:+	yes
2449	-1.060000030658883	down	chr16:18780540-18812080:-	yes
2470	0.6820866492131902	up	chr10:81037306-81053590:+	yes
2472	-1.3150263545224816	down	chr11:102110196-102126501:+	yes
2499	-0.7790464688855919	down	chr2:76244565-76438704:+	yes
2504	1.534041734472058	up	chr16:96813686-97392359:-	yes
2505	0.5890744880046579	up	chr7:28692411-28714479:-	yes
2507	0.691387791884355	up	chr8:37157882-37210841:+	yes
2510	0.8288921559957946	up	chr11:54911617-54926531:+	yes
2526	2.011649017364668	up	chr11:104092704-104193404:+	yes
2536	-1.1086231517068823	down	chr8:4735980-4779534:-	yes
2557	1.2048305249798954	up	chr12:34732451-35213754:-	yes
2594	0.8904067873034852	up	chr8:113245376-113265300:+	yes
2595	-1.369628722309847	down	chr15:76533984-76540963:-	yes
2600	-0.6121710210270654	down	chr9:123598348-123599310:-	yes
2615	1.8310347373535851	up	chr14:71165843-71178302:+	yes
2616	1.0839171024763594	up	chr14:73583480-73725629:-	yes
2620	-0.6587050546431188	down	chr14:73909856-73918352:+	yes
2632	1.4388287986460897	up	chr10:66998223-67004936:+	yes
2650	-0.6082487957569536	down	chr3:108481556-108525105:-	yes
2671	0.8940662472908374	up	chr7:26164546-26183729:-	yes
2680	0.6697269824112597	up	chr14:80260328-80268983:-	yes
2696	-0.9805968658761264	down	chr13:89794915-89882117:-	yes
2698	-0.6882054439450542	down	chr8:46422071-46467645:-	yes
2700	-0.7549761229243992	down	chr14:31528035-31635899:+	yes
2708	inf	up	chr14:31742366-31756475:-	yes
2728	-1.692091400881364	down	chr8:47637409-47665361:+	yes
2734	0.6854997414766429	up	chr7:28043452-28067163:+	yes
2747	-1.1899587459380565	down	chr10:87554177-87609686:-	yes
2761	0.8588304980008932	up	chr19:7631949-7663035:+	yes
2773	-1.5795354323704562	down	chr16:5211921-5222392:-	yes
2787	0.8535486964424189	up	chr4:126166785-126210716:-	yes
2795	-1.1707741967373884	down	chr2:126929545-126959690:-	yes
2796	-1.1526428190942986	down	chr2:109120895-109181904:+	yes
2799	-1.858554458685206	down	chr2:64926396-65077460:-	yes
2812	0.6749979005822844	up	chr9:76338512-76393611:-	yes
2820	-1.12861844639665	down	chr9:77602342-77642292:+	yes
2826	1.507940479817172	up	chr5:83707170-83784220:-	yes
2827	0.7031622470203533	up	chrX:133242521-133246017:+	yes
2829	2.7830780681796465	up	chr13:70866680-70980689:-	yes
2845	2.9955987608904064	up	chr15:74545269-74547493:+	yes
2857	0.9913674447730332	up	chr2:121218367-121240317:-	yes
2900	-1.0355195752459805	down	chr13:51740601-51746029:+	yes
2911	-1.0670492103117748	down	chr1:95205347-95240059:-	yes
2927	-1.112659159167571	down	chr1:141351350-141390667:+	yes
2936	0.7134114115999881	up	chr6:88792552-88825038:-	yes
2942	-0.7374562693496	down	chr8:13338751-13378395:+	yes
2948	1.9983293922600456	up	chr5:129602625-129710474:+	yes
2980	2.9704762821794786	up	chr5:114062363-114100435:-	yes
2985	-0.8049841621999031	down	chr10:29915817-29920346:-	yes
2989	1.220723371009588	up	chr17:31194643-31252722:+	yes
3011	-1.2630969476095044	down	chr4:108252028-108288633:+	yes
3019	2.2711007596270307	up	chr10:128004579-128026708:-	yes
3025	1.2758992534700766	up	chr11:3394378-3404824:-	yes
3026	1.5824281431490106	up	chr9:36697550-36954899:-	yes
3051	-0.6682717159865499	down	chr11:100981252-100987733:+	yes
3056	0.8889258782937682	up	chr4:151681128-151693102:-	yes
3063	0.6482715231734595	up	chr2:181415015-181422776:+	yes
3080	-1.4582781509125842	down	chr11:98769115-98785254:+	yes
3084	2.269408996865622	up	chr1:40862446-40912789:+	yes
3095	0.9622452185086279	up	chr6:21935916-22206404:+	yes
3111	2.597642900095733	up	chr7:97650473-99595513:+	yes
3132	1.0091666724678146	up	chr17:34132962-34137278:-	yes
3169	-0.9604023303311666	down	chr2:181054444-181091321:+	yes
3189	-1.1326884755455078	down	chr1:44143458-44159286:-	yes
3219	2.8138121119747854	up	chr13:46513669-46526459:+	yes
3220	1.0410363157867673	up	chr7:150644255-150646955:-	yes
3264	0.7122908988200121	up	chr11:60541900-60546453:+	yes
3272	-0.6836477969218477	down	chr17:46308953-46339574:-	yes
3275	1.7703688442356913	up	chr17:44325521-44417117:+	yes
3276	-0.8431448062503477	down	chr10:21601990-21719709:+	yes
3283	-1.7092672959596076	down	chr8:97541592-97569147:+	yes
3290	-0.9421098118425608	down	chr15:90594677-90595092:-	yes
3329	0.9482827764566424	up	chr9:63494574-63605801:-	yes
3334	-0.7120224467503157	down	chr11:83105201-83108134:+	yes
3341	5.177552886375404	up	chr2:113835337-113839355:-	yes
3342	4.5504758829659995	up	chr2:113873018-113879284:-	yes
3368	0.6158441099475219	up	chr2:177566496-177575041:-	yes
3371	-1.3981622792200858	down	chr11:117710565-117717069:+	yes
3401	0.8279428438611517	up	chr1:24620814-24621627:-	yes
3421	-1.0213991888147358	down	chr5:16059368-16125257:+	yes
3424	0.7804801195229933	up	chr4:132809005-132819028:-	yes
3441	-1.35301696327669	down	chr1:192886891-192908437:+	yes
3484	0.8419749921387305	up	chr13:46764859-46773425:+	yes
3507	3.9761018434890185	up	chr7:56085768-56103400:-	yes
3512	0.7994869471102027	up	chr5:48374394-48697521:+	yes
3530	-2.651009821065448	down	chr15:87374904-87589766:+	yes
3534	0.6972290892495479	up	chr7:19679943-19683898:+	yes
3538	0.6546978945117815	up	chr1:167104472-167124564:-	yes
3550	3.8639746457498063	up	chr4:128814243-128821837:+	yes
3551	-1.2397984350758973	down	chr13:55426529-55431119:-	yes
3570	2.027568571880216	up	chr6:30673547-30698457:+	yes
3583	0.9355461364410876	up	chr4:129930739-129956449:-	yes
3590	-1.2210915864793277	down	chr9:22135658-22193650:-	yes
3599	-1.4545691784742287	down	chr14:68291234-68293163:-	yes
3602	-0.9101478188510436	down	chr11:106849943-106860855:-	yes
3628	0.7638301059172522	up	chr1:157059603-157079870:-	yes
3659	2.5674904685065068	up	chr7:149836673-149852721:-	yes
3660	-1.1883508878711295	down	chr18:34892651-34911187:-	yes
3666	0.9151221088221082	up	chr15:6763577-6824969:-	yes
3703	0.5882763802816261	up	chr5:123000213-123064527:-	yes
3708	-2.121707751117892	down	chr7:133944304-133952622:-	yes
3722	0.5903186278671166	up	chr9:123168176-123169907:-	yes
3726	1.235404965339975	up	chr7:51861173-51926213:-	yes
3727	0.7925692579067735	up	chr9:116481864-117539031:-	yes
3729	0.9978369128941048	up	chr17:43938800-44176465:+	yes
3731	3.1297282922044523	up	chr7:133589372-133606622:-	yes
3743	-2.1607859057333214	down	chr11:64990063-65083491:-	yes
3746	-0.6807881536887767	down	chr12:36818433-36883412:-	yes
3752	0.591502293051832	up	chr5:5579278-5664239:-	yes
3760	1.4891966496447104	up	chr7:20393811-20408119:-	yes
3772	2.1998532289857144	up	chr8:15057653-15133541:+	yes
3775	-0.8828446825527673	down	chr8:18690263-18741562:-	yes
3799	1.1005949886355932	up	chr10:78243241-78277570:+	yes
3813	-0.9815496285561768	down	chr3:89219394-89222305:-	yes
3820	1.2382841750627158	up	chr18:33596673-33623683:-	yes
3860	-0.6328606631565497	down	chr7:17366695-17383623:+	yes
3872	-0.9875293834093616	down	chr9:64129414-64152599:+	yes
3902	1.2191550381073348	up	chr18:61653448-61696190:-	yes
3920	1.865503310148958	up	chr11:50415586-50621075:+	yes
3922	3.3104813049048767	up	chr19:6384399-6398459:+	yes
3940	-1.2006593391007483	down	chr7:51788116-51804219:-	yes
3953	1.9679711976226733	up	chr19:10059664-10076123:-	yes
3970	-0.7874658721404981	down	chr17:35654045-35667960:+	yes
3976	2.0106977115076448	up	chr17:25702837-25707631:-	yes
4002	-0.5876341421178534	down	chr8:123177814-123192012:-	yes
4023	-0.8965321853189158	down	chr1:151676748-151808420:-	yes
4042	1.875240390893363	up	chr14:35339885-35401867:-	yes
4044	2.673057649961283	up	chr14:8797047-8827087:-	yes
4096	-0.8230409795548667	down	chr10:84849559-85123037:+	yes
4115	inf	up	chr12:88833274-89135166:+	yes
4117	-1.523962514437044	down	chr4:11118498-11131926:+	yes
4177	inf	up	chrX:42444081-42445968:+	yes
4181	6.0997193364678655	up	chr5:122550960-122563481:+	yes
4193	-1.1156983376204703	down	chr2:132641877-132669933:+	yes
4231	0.5938768387704522	up	chr3:51491533-51908813:-	yes
4237	5.677717177991796	up	chr18:57628140-57637788:+	yes
4274	-1.6977093299843486	down	chr6:72156171-72185571:-	yes
4280	-0.7843806053617187	down	chr14:47380216-47391200:+	yes
4284	-1.3148579808077991	down	chr14:58425398-58445000:-	yes
4286	-1.1127922310886873	down	chr10:6179460-6373423:-	yes
4301	-1.4520587310701254	down	chr8:98157459-98168959:+	yes
4332	-2.397298922591975	down	chr10:43298975-43304068:+	yes
4350	1.4557051635276084	up	chr15:58011634-58046433:-	yes
4365	-1.2192157430177415	down	chr7:91394791-91558469:-	yes
4388	0.8332878477925665	up	chr18:35989472-36021341:+	yes
4392	0.8565854383044824	up	chr15:59146632-59162747:+	yes
4413	-1.622234350436952	down	chr2:162880423-162910424:+	yes
4420	-1.0786225125038076	down	chr16:23114016-23127810:-	yes
4435	0.9829028079274624	up	chr1:168028284-168058029:-	yes
4453	0.9154670253971954	up	chr3:51192337-51200660:-	yes
4457	1.2389877718554576	up	chr2:144993490-145467902:+	yes
4490	0.7429610672658854	up	chr18:75590878-75857350:-	yes
4491	0.6842571485847069	up	chr15:32170324-32174417:-	yes
4496	1.3785391440141601	up	chr2:90922547-90955913:+	yes
4498	0.6702712945700969	up	chr19:26679605-26852811:+	yes
4501	1.0746619690482209	up	chr19:27290974-27328721:+	yes
4523	1.2849622783623809	up	chrX:70163896-70203853:+	yes
4540	-1.6115238011423434	down	chr10:119798331-119913525:-	yes
4546	-0.5944632572909042	down	chr5:115685845-115695360:+	yes
4553	4.315018732367526	up	chr16:25683849-25892188:+	yes
4559	1.275131087750436	up	chrX:7399415-7415406:+	yes
4560	0.5856212652030426	up	chr15:100333230-100382439:-	yes
4563	-2.612872544443063	down	chr9:78137730-78153332:+	yes
4567	0.676904016481453	up	chr15:75916025-75920443:-	yes
4585	1.9815020989508405	up	chr15:89260020-89261299:+	yes
4586	1.1605366444348433	up	chr9:119922873-119932716:-	yes
4610	3.434669507919601	up	chr7:52872976-52876429:+	yes
4650	1.3808529480203369	up	chr7:123267008-123451890:-	yes
4651	1.1895947772012767	up	chr12:81221535-81233831:-	yes
4659	-1.2122498544664122	down	chr8:123651840-123652929:+	yes
4681	1.8148673533385944	up	chr9:119517584-119603478:-	yes
4682	1.3378223959158837	up	chr14:65885538-65942808:+	yes
4685	-4.449616066641322	down	chr15:79088625-79115967:-	yes
4692	-1.0990164715117436	down	chr8:78235499-78237095:-	yes
4788	-1.0114684709978436	down	chr13:109106526-109197976:+	yes
4798	0.8799380122711978	up	chr6:128174306-128250841:-	yes
4800	2.37335309332078	up	chr6:127837607-127903049:+	yes
4823	3.648071800467812	up	chr16:96457408-96541466:+	yes
4825	1.6343871738638098	up	chr19:34658021-34663221:+	yes
4851	0.801097400794884	up	chr13:55574789-55589472:-	yes
4854	-0.7341528209272689	down	chr8:86239076-86250791:+	yes
4869	-1.2141276257473692	down	chr4:52452115-52501237:+	yes
4892	-1.098499443911594	down	chr7:142881471-142908062:-	yes
4959	0.7664311303213177	up	chr5:4081145-4104746:-	yes
5053	1.8109042057484208	up	chr8:95351227-95377316:+	yes
5089	1.7179696160882818	up	chr6:91106659-91124686:+	yes
5096	0.7171561223015983	up	chr1:37811417-37922143:-	yes
5098	0.6729849141985753	up	chr13:113450984-113523106:+	yes
5102	-1.7934258825750458	down	chr17:25931839-26101729:+	yes
5108	0.9347296127297932	up	chr9:111174349-111181593:+	yes
5117	-inf	down	chr12:104680379-104695433:-	yes
5155	-0.7335907865292342	down	chr18:60973409-61008625:-	yes
5157	1.9790552993666128	up	chr18:60963502-60972300:+	yes
5158	2.9240448884979804	up	chr18:61085272-61147806:+	yes
5165	0.8404311696709107	up	chr16:20097627-20127817:+	yes
5174	0.9880788993827472	up	chr9:56990607-56995929:-	yes
5180	-0.6261624835443076	down	chr3:157699626-157731442:+	yes
5190	1.0776762190836355	up	chr2:67284059-67364671:+	yes
5191	3.8708492047383274	up	chr16:38773297-38800316:-	yes
5222	-0.6427125531572144	down	chr2:129024500-129037352:+	yes
5232	-0.7239254058431188	down	chr8:70880680-71259045:-	yes
5233	1.3812819999740884	up	chr7:121887208-121993894:+	yes
5263	1.1787546065829406	up	chr19:5068078-5070637:+	yes
5281	0.7292286436250459	up	chr18:66618258-66625204:+	yes
5286	1.2973333433267942	up	chr12:25516464-25645166:+	yes
5288	0.6385724639378322	up	chr12:4247363-4484060:-	yes
5325	2.7709675201188912	up	chr8:75285779-75287773:+	yes
5347	-1.4161769247131546	down	chr1:57416066-57434348:-	yes
5372	1.3706783952734956	up	chr5:89315843-89668678:+	yes
5386	0.7567630946978738	up	chr6:29383153-29411888:+	yes
5421	-0.9985522685306479	down	chr4:46617262-46663081:-	yes
5427	-0.7745218678896052	down	chr8:18932729-18950975:-	yes
5434	1.5517744186547011	up	chr8:40667054-40728032:-	yes
5466	1.570528228696554	up	chr10:51200446-51216419:+	yes
5505	-1.4507857113069769	down	chr3:14886426-14900769:+	yes
5532	4.0786917785867605	up	chrX:11916908-11932122:-	yes
5557	-0.585898711822599	down	chr4:10978192-11003352:-	yes
5570	-1.2096755740794547	down	chr5:74591321-74595503:+	yes
5589	-0.8382792835136431	down	chr9:70255496-70269361:-	yes
5621	-0.6466003820673929	down	chr11:75993173-76028329:+	yes
5623	2.4686778362755293	up	chr1:93076399-93121773:+	yes
5675	0.63208078813376	up	chr6:57456496-57485420:-	yes
5677	2.6066866437406957	up	chr2:157942138-157972172:-	yes
5682	-1.608429686717603	down	chr15:53293176-53734092:-	yes
5718	-0.6042515885476107	down	chr14:44291398-44293007:+	yes
5745	-1.0309591524390012	down	chr9:83728296-83765997:+	yes
5756	1.13836303445307	up	chr2:155206795-155215586:+	yes
5758	0.7323121886116003	up	chr16:57353206-57573239:+	yes
5760	4.80666909825184	up	chr6:112409495-112422865:+	yes
5821	-0.6969875025049661	down	chr13:34719709-34744550:-	yes
5826	2.672915846001258	up	chr12:106842301-106843638:+	yes
5843	2.968178402436707	up	chr5:111846382-111886053:+	yes
5857	6.592954037826632	up	chr2:26892805-26896373:+	yes
5858	1.1383258626311836	up	chrX:50408223-50410367:-	yes
5868	1.5342506623154544	up	chr1:135793773-135804576:-	yes
5875	1.4641111599216063	up	chr16:38362295-38378302:+	yes
5877	-0.9437729423205672	down	chr16:18239877-18248825:-	yes
5878	-0.5971223488461138	down	chr8:108368578-108375908:-	yes
5882	-4.223566889577511	down	chr9:57545420-57551629:+	yes
5886	-0.8025016596344952	down	chr5:38611709-38625545:+	yes
5964	1.2255226918348117	up	chr18:35019477-35024638:+	yes
5987	-0.8383557310318354	down	chr1:88423311-88427273:+	yes
5989	-0.6652231812931207	down	chr1:77363760-77511663:-	yes
5990	-0.6886629325333083	down	chr1:88241294-88256030:-	yes
5997	4.5106554785750355	up	chr11:66984529-67011019:+	yes
6017	0.9537617676298354	up	chr16:91614502-91619271:-	yes
6059	2.8465998887221216	up	chr5:150331254-150414470:+	yes
6060	2.6595693357969905	up	chr5:150171051-150234298:+	yes
6086	1.6881001970547271	up	chr6:123212125-123225286:+	yes
6088	1.7958746227811866	up	chr6:123231807-123239888:-	yes
6093	2.3192816723793044	up	chr6:123056446-123094017:+	yes
6113	-1.0121617565754322	down	chr11:115425748-115445299:+	yes
6178	-0.6555124331157764	down	chr2:84877355-84887266:+	yes
6186	0.6234033676502154	up	chr7:151009050-151034315:+	yes
6194	-0.8422822801841319	down	chr5:91320267-91322141:+	yes
6205	0.9900357300693456	up	chr11:45868004-45960845:+	yes
6280	0.6811749950469252	up	chr1:66765817-66864169:-	yes
6317	-0.8322230307003962	down	chr17:6942390-6987133:-	yes
6336	2.2129910575426246	up	chr8:114210410-114214910:-	yes
6356	0.6030294328162457	up	chr5:124568699-124699769:-	yes
6361	1.181872253993652	up	chr2:19579689-19582217:+	yes
6363	-1.5518937667994224	down	chr11:117676840-117687406:-	yes
6364	-0.5868375158171106	down	chr11:118884276-118892584:+	yes
6386	0.97206847463221	up	chr6:115724556-115754911:+	yes
6394	-0.7853294647506774	down	chr6:114954399-114987894:-	yes
6408	-1.5784389698762786	down	chr7:86805082-86843020:+	yes
6411	0.6498564575678747	up	chr2:73179563-73224629:-	yes
6412	-1.3662034589937475	down	chr16:31422366-31458987:+	yes
6418	0.7439363403522112	up	chr10:121218047-121484371:-	yes
6420	-2.3694479637518047	down	chr10:121885555-121890509:+	yes
6421	1.2139096800221305	up	chr11:16652206-16818161:+	yes
6473	0.9167735570266417	up	chr14:64055231-64084335:+	yes
6480	1.0865055600889415	up	chr2:156439441-156590099:+	yes
6507	0.962463398623465	up	chr11:101052429-101087777:-	yes
6519	0.6371400605757732	up	chr8:88364858-88585275:+	yes
6527	-1.6491775824358048	down	chr10:62409774-62436933:+	yes
6535	-0.7140212583048627	down	chrX:16196824-16264944:+	yes
6565	-0.9789663312446896	down	chr7:4736197-4741258:-	yes
6594	1.3071471492366382	up	chr18:69503800-69847621:+	yes
6624	2.1977419933637767	up	chr10:76058507-76086375:-	yes
6631	-1.3226734468171135	down	chr13:74049910-74075215:-	yes
6637	-1.7631487040155918	down	chr16:37011872-37095502:+	yes
6648	0.9326344844382422	up	chr8:85387255-85615170:+	yes
6652	0.7403102649324148	up	chrX:137909928-138123778:+	yes
6654	-1.490666339726714	down	chr7:52713314-52715254:-	yes
6655	1.1011158735400186	up	chr10:118297882-118300598:+	yes
6748	0.7487618755873385	up	chr10:41530380-41628230:+	yes
6751	-0.7410917683913926	down	chr7:135517135-135562272:-	yes
6763	0.640469175473104	up	chr3:87946294-87976008:+	yes
6770	-1.1326669240496163	down	chr5:34000777-34021644:+	yes
6774	-0.7527262261966259	down	chrX:20002814-20097065:+	yes
6775	-0.7383004759671756	down	chr5:31357153-31380852:+	yes
6776	5.6614738346000575	up	chr1:195001700-195027897:-	yes
6777	1.5561074778674957	up	chr13:51796615-51889116:-	yes
6779	-0.9206819699629268	down	chr13:52678542-52744161:+	yes
6798	0.9256113477241188	up	chr11:63892986-63896761:+	yes
6803	-0.6170609620518658	down	chr14:24953175-25065142:-	yes
6818	2.105583399138779	up	chr7:75418725-75507975:+	yes
6826	0.6149542567700433	up	chr17:47642000-47736632:+	yes
6840	-1.2053288398055466	down	chr18:25636133-25912484:-	yes
6876	0.6736526652744159	up	chr10:78527119-78560345:-	yes
